Plant Height (m),Stem Width (cm),Leaf Length (cm),Leaf Color,Age (years),Yield (kg)
0.9,0.52,7.35,Light Green,1,1.0
3.0,2.8,12.02,Yellowish,18,2.1
1.4,0.9,13.31,Light Green,4,2.71
2.31,1.87,12.5,Dark Green,9,6.94
0.68,0.58,5.83,Light Green,1,1.0
1.4,0.9,13.31,Light Green,4,2.71
1.2,0.74,18.83,Light Green,3,1.96
1.09,0.76,7.88,Light Green,3,1.53
0.99,0.68,9.58,Light Green,2,1.01
2.78,2.65,16.55,Dark Green,16,2.48
2.56,2.0,7.39,Dark Green,11,7.41
2.35,1.9,7.85,Dark Green,9,7.51
2.4,1.71,14.29,Dark Green,8,7.66
2.67,2.22,14.77,Dark Green,13,5.87
2.87,2.6,5.49,Dark Green,16,3.64
1.0,0.52,8.99,Light Green,1,1.0
2.99,2.42,11.03,Dark Green,16,3.12
2.89,2.4,10.41,Dark Green,16,2.08
1.95,1.4,5.4,Dark Green,7,5.1
2.27,1.76,9.13,Dark Green,8,6.29
2.4,1.71,14.29,Dark Green,8,7.66
2.9,2.78,9.53,Yellowish,18,3.74
1.06,0.76,19.07,Light Green,3,1.94
3.01,2.71,8.74,Yellowish,18,3.5
2.48,2.19,13.72,Dark Green,12,7.12
2.89,2.89,7.41,Yellowish,19,3.33
0.65,0.55,14.31,Light Green,1,1.0
1.87,1.08,6.57,Light Green,5,4.1
3.0,2.9,7.04,Yellowish,19,2.81
2.08,1.6,11.61,Dark Green,7,7.4
0.68,0.58,5.83,Light Green,1,1.0
2.9,2.29,17.76,Dark Green,13,6.12
2.27,1.76,9.13,Dark Green,8,6.29
2.31,1.87,12.5,Dark Green,9,6.94
3.01,2.81,10.37,Yellowish,19,2.02
3.01,2.7,18.73,Dark Green,17,3.53
2.4,1.71,14.29,Dark Green,8,7.66
1.32,1.0,6.28,Light Green,4,4.39
4.0,2.98,6.09,Yellowish,20,2.1
4.0,2.98,6.09,Yellowish,20,2.1
2.98,2.89,18.63,Yellowish,19,2.49
2.67,2.22,14.77,Dark Green,13,5.87
3.0,2.86,12.99,Yellowish,19,2.35
1.98,1.09,18.4,Light Green,5,4.95
3.01,2.71,8.74,Yellowish,18,3.5
2.3,1.77,9.99,Dark Green,8,5.93
1.9,1.08,16.92,Light Green,5,4.6
1.4,0.77,18.75,Light Green,3,1.7
2.64,2.35,9.68,Dark Green,13,7.1
1.0,0.52,8.99,Light Green,1,1.0
3.0,2.8,12.02,Yellowish,18,2.1
1.2,0.74,18.83,Light Green,3,1.96
0.65,0.55,14.31,Light Green,1,1.0
1.6,0.9,18.79,Light Green,4,4.68
2.35,1.9,7.85,Dark Green,9,7.51
0.9,0.52,7.35,Light Green,1,1.0
2.87,2.13,15.08,Dark Green,12,7.3
2.89,2.4,10.41,Dark Green,16,2.08
2.68,2.63,10.12,Dark Green,16,2.72
0.9,0.52,7.35,Light Green,1,1.0
1.6,0.9,18.79,Light Green,4,4.68
1.06,0.76,19.07,Light Green,3,1.94
2.09,1.63,9.01,Dark Green,7,5.84
2.74,2.33,12.28,Dark Green,13,5.39
2.31,1.87,12.5,Dark Green,9,6.94
2.89,2.89,7.41,Yellowish,19,3.33
2.78,2.36,11.11,Dark Green,15,3.46
3.01,2.81,10.37,Yellowish,19,2.02
3.0,2.7,15.69,Dark Green,17,3.69
1.44,0.99,15.73,Light Green,4,2.42
2.98,2.89,18.63,Yellowish,19,2.49
2.67,2.22,14.77,Dark Green,13,5.87
2.21,1.82,9.46,Dark Green,9,6.25
1.44,0.99,15.73,Light Green,4,2.42
0.87,0.52,15.01,Light Green,1,1.0
2.89,2.89,7.41,Yellowish,19,3.33
1.89,1.25,11.57,Light Green,6,5.0
1.34,1.02,5.54,Light Green,4,4.64
2.89,2.4,10.41,Dark Green,16,2.08
3.0,2.7,15.69,Dark Green,17,3.69
2.09,1.63,9.01,Dark Green,7,5.84
1.66,1.16,18.7,Light Green,5,4.72
2.98,2.89,18.63,Yellowish,19,2.49
1.06,0.95,9.8,Light Green,4,4.02
0.9,0.52,7.35,Light Green,1,1.0
2.4,1.71,14.29,Dark Green,8,7.66
1.9,1.08,16.92,Light Green,5,4.6
1.66,1.16,18.7,Light Green,5,4.72
2.49,2.62,9.69,Dark Green,16,3.62
3.01,2.7,18.73,Dark Green,17,3.53
1.44,0.99,15.73,Light Green,4,2.42
2.8,2.19,13.42,Dark Green,12,5.46
1.4,0.77,18.75,Light Green,3,1.7
2.87,2.36,6.97,Dark Green,14,6.59
2.48,2.19,13.72,Dark Green,12,7.12
1.1,0.88,19.89,Light Green,3,1.45
1.33,1.19,15.83,Light Green,5,3.99
3.01,2.81,10.37,Yellowish,19,2.02
2.97,2.47,11.08,Dark Green,16,3.15
1.9,1.08,16.92,Light Green,5,4.6
2.4,2.59,12.18,Dark Green,16,3.91
2.05,1.75,18.7,Dark Green,8,5.26
2.99,2.73,11.78,Yellowish,18,3.31
0.89,0.66,18.32,Light Green,2,1.53
1.33,1.19,15.83,Light Green,5,3.99
2.7,2.2,19.45,Dark Green,12,6.44
2.9,2.29,17.76,Dark Green,13,6.12
1.33,1.19,15.83,Light Green,5,3.99
3.0,2.86,12.99,Yellowish,19,2.35
2.08,1.6,11.61,Dark Green,7,7.4
2.98,2.74,5.83,Yellowish,18,2.61
0.45,0.65,15.18,Light Green,1,1.0
1.1,0.7,12.59,Light Green,2,1.4
2.05,1.75,18.7,Dark Green,8,5.26
2.89,2.89,7.41,Yellowish,19,3.33
1.89,1.25,11.57,Light Green,6,5.0
1.0,0.52,8.99,Light Green,1,1.0
1.4,0.77,18.75,Light Green,3,1.7
2.89,2.4,10.41,Dark Green,16,2.08
2.08,1.6,11.61,Dark Green,7,7.4
2.64,2.35,9.68,Dark Green,13,7.1
1.1,0.88,19.89,Light Green,3,1.45
2.48,2.01,13.12,Dark Green,11,6.67
2.78,2.36,11.11,Dark Green,15,3.46
